"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252287501E-2,2.466172471E-1,-7.771534324E-3,-6.219507873E-2,2.544576412E-1
2.250087500E-2,4.842015693E-1,-6.549466252E-2,2.073492837E-1,5.307866200E-1
3.247887501E-2,5.433366905E-1,-1.546471596E-2,3.387087375E-1,6.404510329E-1
4.245587499E-2,4.642237531E-1,1.003791511E-2,2.900056703E-1,5.474556982E-1
5.243387501E-2,4.415002671E-1,-1.940983236E-2,9.792799830E-2,4.526467941E-1
6.241187500E-2,5.251688798E-1,-4.548139751E-2,-1.366457753E-1,5.445575982E-1
7.238887501E-2,4.975309918E-1,-2.246909559E-2,-3.758922051E-1,6.239686674E-1
8.236687499E-2,4.083976809E-1,-2.131017745E-2,-5.863032371E-1,7.148386358E-1
9.234487501E-2,2.641883860E-1,-1.052557290E-2,-6.672041434E-1,7.176821441E-1
1.023228750E-1,1.318627894E-1,4.388978541E-2,-6.895188725E-1,7.033849473E-1
1.122998750E-1,1.673039695E-1,8.894784451E-2,-5.943747336E-1,6.238458633E-1
1.222778750E-1,2.975941868E-1,5.088480949E-2,-5.564761515E-1,6.331013118E-1
1.322558750E-1,3.576094235E-1,5.227293849E-2,-6.608470505E-1,7.532169569E-1
1.422328750E-1,3.645274106E-1,1.153749204E-1,-6.920941325E-1,7.906869757E-1
1.522108750E-1,3.149352012E-1,8.896187782E-2,-5.743072356E-1,6.610046880E-1
1.621888750E-1,2.731612490E-1,6.025146425E-2,-3.438022470E-1,4.432237494E-1
1.721668750E-1,4.339442392E-1,5.814295828E-2,-1.601606454E-1,4.661969955E-1
1.821438750E-1,4.354710203E-1,4.901837826E-2,-8.797559872E-2,4.469647826E-1
1.921218750E-1,3.713150778E-1,8.855900466E-2,-1.319068994E-1,4.038774745E-1
2.020998750E-1,4.459384499E-1,9.495878220E-2,-2.667084628E-1,5.282155579E-1
2.120778750E-1,4.835197109E-1,6.633724630E-2,-3.807377927E-1,6.189937058E-1
2.220548750E-1,3.701241461E-1,3.077038765E-2,-4.490638232E-1,5.827495325E-1
2.320328750E-1,2.331458287E-1,-1.521679401E-2,-5.207236437E-1,5.707378044E-1
2.420108750E-1,1.521809685E-1,-1.546880901E-2,-4.522863699E-1,4.774529209E-1
2.519878750E-1,1.439608248E-1,2.342453063E-2,-3.097749603E-1,3.423944417E-1
2.619658750E-1,2.530372706E-1,-1.763637185E-2,-2.714686811E-1,3.715294696E-1
2.719438750E-1,2.628356692E-1,-1.042809981E-1,-2.218005310E-1,3.593780615E-1
2.819218750E-1,1.992838354E-1,-1.144452131E-1,-2.660271160E-1,3.515425726E-1
2.918988750E-1,7.629457947E-2,-1.238270706E-1,-4.167043085E-1,4.413575501E-1
3.018768750E-1,-6.764194284E-2,-1.032513034E-1,-4.638591792E-1,4.800016689E-1
3.118548750E-1,-4.955988524E-2,-6.588818014E-2,-3.961992927E-1,4.046866863E-1
3.218328750E-1,4.438977716E-2,-1.060983127E-1,-3.813782090E-1,3.983423685E-1
3.318098750E-1,1.695480029E-1,-1.014889526E-1,-3.904753071E-1,4.376271224E-1
3.417878750E-1,3.724268893E-1,-1.792814791E-2,-3.670266567E-1,5.231938198E-1
3.517658750E-1,5.015754743E-1,1.063608527E-2,-4.323549660E-1,6.622853609E-1
3.617438750E-1,4.535822591E-1,-6.332534552E-3,-5.707144140E-1,7.290349162E-1
3.717208750E-1,3.496353197E-1,-1.746563315E-3,-6.165350962E-1,7.087760098E-1
3.816988750E-1,2.652003015E-1,1.074659765E-2,-6.580531047E-1,7.095636532E-1
3.916768750E-1,1.472177056E-1,-2.386131763E-2,-7.070271903E-1,7.225855404E-1
4.016538750E-1,4.394500505E-2,-2.862504423E-2,-8.377202077E-1,8.393602939E-1
4.116318750E-1,-1.296263756E-2,-7.801355124E-3,-9.507198429E-1,9.508402131E-1
4.216098750E-1,-2.632171635E-2,5.732083976E-2,-9.331210394E-1,9.352504401E-1
4.315878750E-1,-1.665928384E-2,9.049852610E-2,-8.282208212E-1,8.333170127E-1
4.415650833E-1,4.818196147E-2,8.194989681E-2,-6.890546036E-1,6.955814357E-1
4.515430833E-1,7.050434676E-2,8.269073904E-2,-6.199529399E-1,6.294046941E-1
4.615210833E-1,-3.137766668E-2,6.875799358E-2,-7.176178135E-1,7.215868249E-1
4.714990833E-1,-1.210872115E-1,6.009534359E-2,-8.690108514E-1,8.794620077E-1
4.814760833E-1,-1.602766395E-1,4.643215477E-2,-9.530416261E-1,9.675396050E-1
4.914540833E-1,-1.643066502E-1,4.216134846E-2,-9.666980906E-1,9.814680091E-1
5.014320833E-1,-1.795878001E-1,2.420104086E-2,-9.229822598E-1,9.406028494E-1
5.114090833E-1,-2.288467730E-1,6.309145689E-4,-8.452717406E-1,8.757028942E-1
5.213870833E-1,-3.240498775E-1,1.912975073E-2,-8.590074348E-1,9.182962722E-1
5.313650833E-1,-4.010395447E-1,3.155332983E-2,-9.804624362E-1,1.059780599E0
5.413430833E-1,-4.192973294E-1,6.499180198E-3,-1.191753328E0,1.263379786E0
5.513200833E-1,-3.518431553E-1,5.929310560E-2,-1.356511347E0,1.402651886E0
5.612980833E-1,-1.378828543E-1,1.329534048E-1,-1.311691415E0,1.325602753E0
5.712760833E-1,-1.154350005E-2,1.546857512E-1,-1.122437364E0,1.133104836E0
5.812540833E-1,5.060646376E-2,1.824834144E-1,-9.029758653E-1,9.226194362E-1
5.912310833E-1,6.034976142E-2,1.753024489E-1,-8.223936322E-1,8.430328159E-1
6.012090833E-1,1.231495793E-2,1.032483798E-1,-8.900079104E-1,8.960613633E-1
6.111870833E-1,-4.164457337E-2,1.310758638E-1,-1.020987149E0,1.030208674E0
6.211640833E-1,-1.210267111E-1,1.466610324E-1,-1.182775659E0,1.197962931E0
6.311420833E-1,-1.213121557E-1,1.252280635E-1,-1.331633198E0,1.342998765E0
6.411200833E-1,-1.622175862E-1,1.332709086E-1,-1.382702195E0,1.398549620E0
6.510980833E-1,-1.391952253E-1,1.517141962E-1,-1.369688924E0,1.385077708E0
6.610750833E-1,6.422691308E-3,1.646260178E-1,-1.319104662E0,1.329353258E0
