"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.193666671E-3,5.623670751E-1,1.200398290E-1,-1.323064688E0,1.442624850E0
1.517266667E-2,4.024338864E-1,1.572795761E-1,-1.664307024E0,1.719478924E0
2.515066665E-2,2.127485478E-1,5.239046752E-2,-1.890916452E0,1.903568158E0
3.512966668E-2,1.683244913E-1,-6.850831747E-2,-1.993403524E0,2.001670336E0
4.510766666E-2,2.678544440E-1,-7.960457861E-2,-1.803322822E0,1.824844129E0
5.508666666E-2,4.902036631E-1,-5.836222887E-2,-1.493946642E0,1.573398345E0
6.506566665E-2,7.456547009E-1,-8.299947202E-2,-1.247525679E0,1.455750722E0
7.504366667E-2,8.707134875E-1,-1.983439869E-1,-1.109527296E0,1.424265823E0
8.502266667E-2,8.542672433E-1,-3.087616378E-1,-1.112745019E0,1.436421856E0
9.500066665E-2,8.411199251E-1,-4.284278297E-1,-1.261044441E0,1.575203548E0
1.049793333E-1,7.643812861E-1,-5.011771327E-1,-1.341634861E0,1.623404253E0
1.149573333E-1,6.563968078E-1,-4.892640156E-1,-1.403356315E0,1.624698431E0
1.249363333E-1,6.573947082E-1,-4.781560600E-1,-1.400121050E0,1.618993507E0
1.349143333E-1,6.400477005E-1,-4.859761262E-1,-1.350471758E0,1.571498591E0
1.448933333E-1,5.993074081E-1,-5.410300004E-1,-1.313893331E0,1.542140887E0
1.548723333E-1,5.908076397E-1,-6.380709761E-1,-1.281065308E0,1.548327020E0
1.648503333E-1,5.894651189E-1,-7.697695684E-1,-1.213290231E0,1.553089663E0
1.748293333E-1,6.071653716E-1,-8.837493432E-1,-1.118105162E0,1.549135837E0
1.848073333E-1,4.751445977E-1,-1.023713560E0,-1.062806289E0,1.550260962E0
1.947863333E-1,2.763916164E-1,-1.155665336E0,-9.883016521E-1,1.545540310E0
2.047643333E-1,1.290528734E-1,-1.230050105E0,-9.101641399E-1,1.535603031E0
2.147433333E-1,7.698694462E-2,-1.305099703E0,-8.431954674E-1,1.555696250E0
2.247223333E-1,1.057720746E-1,-1.458828265E0,-8.213566285E-1,1.677496453E0
2.347003333E-1,1.603562713E-1,-1.630799555E0,-8.588168156E-1,1.850077740E0
2.446793333E-1,2.461919170E-1,-1.722562249E0,-8.448437244E-1,1.934319540E0
2.546573333E-1,3.073227111E-1,-1.776384115E0,-6.848375916E-1,1.928468382E0
2.646363333E-1,3.258463980E-1,-1.854715755E0,-4.374605719E-1,1.933266189E0
2.746143333E-1,2.210282965E-1,-1.926012610E0,-8.662821751E-2,1.940588191E0
2.845933333E-1,5.994393725E-2,-1.928015281E0,3.616894644E-1,1.962563494E0
2.945713333E-1,-1.930016417E-1,-1.798405314E0,6.957152400E-1,1.937919246E0
3.045503333E-1,-4.871707124E-1,-1.486274511E0,5.433677173E-1,1.655776464E0
3.145293333E-1,-9.576579297E-1,-9.477032644E-1,-2.557641928E-1,1.371373585E0
3.245073333E-1,-1.426292603E0,-1.236224180E-1,-1.515127596E0,2.084515465E0
3.344863333E-1,-1.755860096E0,8.528678584E-1,-2.827328743E0,3.435726427E0
3.444643333E-1,-2.120381952E0,1.833593273E0,-3.874409530E0,4.782168245E0
3.544433333E-1,-2.235766958E0,2.741159495E0,-4.678471849E0,5.865211685E0
