"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.405416697E-4,3.261996429E-1,2.334992015E-1,5.596487411E-1,6.885744677E-1
1.011854166E-2,1.378637138E-1,2.378033370E-1,4.105628318E-1,4.940836665E-1
2.009754165E-2,4.894424653E-2,2.159405977E-1,1.271132058E-1,2.553108851E-1
3.007554167E-2,3.432571404E-2,1.728852099E-1,6.726673432E-3,1.763882042E-1
4.005454166E-2,2.559353700E-2,1.009387296E-1,1.142107397E-1,1.545566218E-1
5.003254165E-2,1.539581018E-2,1.024057961E-1,3.082581560E-1,3.251877439E-1
6.001054167E-2,-1.146459918E-2,1.344181323E-1,4.251908112E-1,4.460794741E-1
6.998887501E-2,4.268921499E-2,1.637115133E-1,4.278933577E-1,4.601266719E-1
7.996687500E-2,8.743789243E-2,1.327966994E-1,4.621013600E-1,4.886901015E-1
8.994587499E-2,1.053542911E-1,8.945655227E-2,3.892970932E-1,4.131031689E-1
9.992387501E-2,9.319538073E-2,4.723790109E-2,2.104886538E-1,2.349941949E-1
1.099018750E-1,6.717756428E-2,4.573516667E-2,-2.071960866E-2,8.386794856E-2
1.198808750E-1,8.259279817E-2,1.795387566E-2,-1.906333001E-1,2.085304944E-1
1.298588750E-1,1.063766219E-1,-4.116732180E-2,-2.384290073E-1,2.643087695E-1
1.398378750E-1,1.832868218E-1,-7.071856499E-2,-2.232390922E-1,2.973732785E-1
1.498158750E-1,1.906898354E-1,-1.316401201E-1,-1.876681405E-1,2.981795860E-1
1.597948750E-1,1.830327238E-1,-1.558546096E-1,-1.060205082E-1,2.627393870E-1
1.697728750E-1,1.905281782E-1,-1.719601804E-1,-5.240969025E-2,2.619505029E-1
1.797508750E-1,8.207806047E-2,-2.004606789E-1,-6.514266014E-2,2.261965030E-1
1.897298750E-1,-1.637377527E-2,-1.834207231E-1,-7.333691161E-2,1.982159549E-1
