From,Subject,Snippet,cleaned_message,cluster,label
Replit <contact@mail.replit.com>,Limited time offer + create your dream app,"Hi there! As you get comfortable creating apps on Replit, try asking Agent for new ideas. For example, you could say, “Create a custom stock analyzer app,” and watch as new apps appear before your eyes",limited time offer  create your dream app,0,0
amalgamcaptures <info@amalgamcaptures.com>,A better Tweed Champ? Meet the Gibson GA-5! Pick any specials as free add-ons,A Champ inspired amp that delivers some beefiest blues tones.‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,a better tweed champ meet the gibson ga pick any specials as free addons,0,0
Replit <contact@mail.replit.com>,💌 Replit으로 만든 나만의 프로젝트를 소개해주세요.,"안녕하세요. Replit 팀입니다. Replit은 누구나 아이디어를 직접 만들고, 실현할 수 있는 세상을 만들고자 합니다. 지금 여러분이 Replit으로 만든 프로젝트를 소개해 주세요. 👉신청 안내 마감: 2025년 5월 12일(월) 23:59PM 복수 제출 가능: 여러 프로젝트도 환영합니다 신청 링크: https://dub.sh/zyD5TtN 🌟이런 분들의", replit으로 만든 나만의 프로젝트를 소개해주세요,0,0
PlayStation <email@email.playstation.com>,PlayStation 광고성 정보 수신동의 안내,"광고성 정보 수신동의 여부를 안내 드립니다. PlayStation PlayStation RedIndex24님, 안녕하세요. 소니인터랙티브엔터테인먼트코리아 입니다. PlayStation™Network를 이용해주시는 고객 여러분께 감사드리며 정보통신망 이용촉진 및 정보보호등에 관한 법률 제50조 제 8항 및 동법 시행령 제62조의3(수신동의 여부의 확인)에 의거",playstation 광고성 정보 수신동의 안내,0,0
Monica Team <noreply@news.monica.im>,등록이 성공적으로 완료되었습니다! Monica의 ChatGPT를 이기는 비밀을 발견하세요.,"친애하는 친구, Monica에 오신 것을 환영합니다! ChatGPT의 한계를 넘어서고 AI 애플리케이션의 무한한 가능성으로 나아가세요. 이제 당신은 단순한 AI 사용자가 아니라, 세계 최첨단 AI 기술의 최전선에 서 있습니다. 🤔 아직 Monica 플러그인을 설치하지 않으신 것 같습니다 지금 설치하려면 클릭하세요 Monica vs ChatGPT 왜",등록이 성공적으로 완료되었습니다 monica의 chatgpt를 이기는 비밀을 발견하세요,0,0
PlayStation <email@email.playstation.com>,(광고) 기프트 위크 세일 곧 종료!,5월 7일까지 인기 게임을 할인된 가격으로 만나세요 PlayStation PlayStation Store 기프트 위크 세일 5월 7일까지 진행 기프트 위크 세일이 곧 종료됩니다! 대박 할인을 놓치지 마세요. 지금 PS Store를 확인하세요. PS Store에서 할인받기 *기프트 위크 세일은 5월 7일(수) 11:59PM에 종료됩니다. PlayStation,광고 기프트 위크 세일 곧 종료,1,1
amalgamcaptures <info@amalgamcaptures.com>,New Release: Supro 1606 - massive tones from a tiny amp! Pick any specials  as free add-ons,This tiny Supro amp will be a BIG surprise - king of vintage single-ended amps‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,new release supro   massive tones from a tiny amp pick any specials  as free addons,0,0
Google <no-reply@accounts.google.com>,보안 알림,새로운 계정 로그인 hikhjs@gmail.com 내 Google 계정에 새로 로그인했습니다. 직접 로그인한 것이 맞다면 아무런 조치를 취하지 않아도 됩니다. 본인이 아니라면 안내에 따라 계정을 보호하세요. 활동 확인 다음 페이지에서 보안 활동도 확인할 수 있습니다. https://myaccount.google.com/notifications 이 이메일은,보안 알림,0,0
Google <no-reply@accounts.google.com>,보안 알림,계정에 새 패스키 추가됨 hikhjs@gmail.com 내가 패스키를 추가하지 않았다면 다른 사람이 내 계정을 사용하는 것일 수 있습니다. 지금 계정 보안을 점검하고 강화하세요. 활동 확인 다음 페이지에서 보안 활동도 확인할 수 있습니다. https://myaccount.google.com/notifications 이 이메일은 Google 계정 및 서비스의,보안 알림,0,0
Nintendo <nintendo-noreply@ccg.nintendo.com>,정기적인 닌텐도 어카운트 비밀번호 변경 안내,"・본 메일은 중요한 정보를 포함하고 있으므로, 메일 알림 수신에 동의하지 않으신 분에게도 발송하고 있습니다. ・본 메일은 발신 전용 메일로 회신되지 않습니다. 한국닌텐도주식회사 서울특별시 중구 통일로2길 16 AIA타워 2층 고객지원센터: 1670-9900 E-MAIL: support1@nintendo.co.kr",정기적인 닌텐도 어카운트 비밀번호 변경 안내,0,0
