채널명,카테고리,구독자 수,평균 조회수,30일 동영상 조회수,태그,스타일
김프로KIMPRO,인물/블로그,1.06억,5628.57만,42.21억,코미디,유쾌한
Mellow Pet House,동물,66.7만,1043.51만,6.05억,브이로그,차분한
Beatbox Klim,인물/블로그,1810만,698.53만,5.31억,비트박스,하이텐션
승비니 Seungbini,인물/블로그,2840만,2470.73만,3.21억,코미디,유쾌한
Breaking Game,게임,47.9만,1056.61만,3.06억,게임,창의적인
CuRe 구래,코미디,2860만,644.41만,2.58억,코미디,하이텐션
계향쓰 GH'S,게임,2480만,1501.05만,2.4억,게임,창의적인
Jeffrey X,코미디,639만,379.58만,2.32억,코미디,유쾌한
SEOK RBLX,게임,84.1만,268.25만,2.25억,게임,유쾌한
요즘예능 1분요약,코미디,5.9만,243.31만,2.17억,코미디,유쾌한
Musician Park,엔터테인먼트,191만,202.06만,2.12억,코미디,창의적인
HeeTales,엔터테인먼트,31.2만,1458.59만,1.9억,코미디,창의적인
니코니코내코,코미디,35.2만,485.56만,1.89억,코미디,하이텐션
뭐볼거없나,코미디,16.4만,273.29만,1.89억,코미디,유쾌한
키융 Keeyong,코미디,279만,298.98만,1.85억,코미디,유쾌한
미유 (MIUU) AI 룩북 SPORTS LOOKBOOK AIルックブック,엔터테인먼트,29.4만,224.73만,1.84억,브이로그,창의적인
핑크퐁 (인기 동요?동화),교육,1450만,472.7만,1.61억,교육,유쾌한
민주픽,뉴스/정치,11.5만,64.34만,1.6억,정치,정보 위주
펀치라인 TV,엔터테인먼트,5.52만,130.65만,1.55억,코미디,유쾌한
Clutchmaker,인물/블로그,369만,1923.58만,1.54억,게임,하이텐션
생생정보TV,노하우/스타일,51.1만,138.63만,1.54억,건강,실용적
최현준TV,엔터테인먼트,21.5만,61.54만,1.53억,정치,정보 위주
낭만박상환,코미디,83.9만,170.49만,1.48억,코미디,유쾌한
야우냐?,엔터테인먼트,44만,166.67만,1.47억,교육,정보 위주
아이쇼스피드 백과사전,인물/블로그,29.5만,105.32만,1.46억,코미디,유쾌한
치타부 - 인기 동요?신나는 놀이,"인물/블로그, Film & Animation",175만,393.46만,1.38억,교육,유쾌한
숏플루언서,Film & Animation,53.4만,228.71만,1.37억,영화,정보 위주
이슈카톡,뉴스/정치,35.7만,69.31만,1.37억,정치,유쾌한
