카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
영화 리뷰,B급 리뷰,UCZLmL8OfgaKPcsJNTaikjFA,"B급 감성 가득한 80, 90년대 숨겨진 명작 영화 전문 리뷰
배우와 영화의 꿀잼 뒷얘기까지 챙겨드립니다
",289000,332,106764105
영화 리뷰,큰해초 영화리뷰,UCY162GkFPaDEU-3E5A4GnSw,"리뷰하는 큰해초, 예쁘게 봐주세용👄
🩸유혈 🤪병맛 👻귀신 ⭐신비
🤡광대 👽외계 🚨스릴 🌺고전

keunhaecho@gmail.com

2023.03.16. 구독자 10,000 감사합니다
2022.02.26. 구독자 1,000 감사합니다
2022.01.09. 구독자 100 감사합니다
2021.11.22. 첫 업로드
",22000,70,8244916
영화 리뷰,리뷰 MASTER,UCul4FTKARC-EaBq0e8UH7RA,"세상의 영화를 당신의 눈앞에

▶ 소통 및 비즈니스 문의 : reviewmaster45@naver.com
",397000,212,199651729
영화 리뷰,Popcorn & Coke Review,UCQtSkfvKq209UVGGqWwNEDg,"안녕하세요! 팝콘콜라 영화 리뷰 유투브 채널에 오신 여러분을 진심으로 환영합니다!

다양한 장르의 영화를 소개, 리뷰, 분석하는 채널입니다.

오셔서 즐거운 시간 보내시고 구독과 좋아요 를 눌러 주세요!

앗! 그리고 팝콘과 콜라를 꼭 챙겨주세요!

그럼 오늘도 좋은 하루 되시기 바랍니다 ^^",597000,934,352525480
영화 리뷰,망고무비의 영화리뷰,UCiU7IX9yfL8Ea7mUCfVL6lw,"솔직하고 비판적인 리뷰가 궁금한 여러분이 만족할 ""영화 리뷰"" 채널.
",2820,114,8059084
영화 리뷰,김시선,UC79hJz6y1EEiIkwfHOuWC4w,"각종 모든 영상 콘텐츠에 ""새로운 재미""를 더 하는 시선 채널입니다.

비즈니스 메일 kss@studioggg.co.kr
____________________________________________________
🔥 영화왕을 꿈꾼 김시선 책 : https://bit.ly/yes24siseon
🥩 김시선 영화 리뷰 블로그 : https://blog.naver.com/kimsiseon
✊ 김시선 강의 인스타 : https://www.instagram.com/kimsiseon
☎️ 기타 문의 : kss@studioggg.co.kr
------------------------------------------------------------------------------------
",2040000,902,823883711
영화 리뷰,엠터,UCaAEBRoeT5zAwkrSNZDT_oA,"단편영화 리뷰하는 사람입니다

gamtice0802@gmail.com",231000,419,195941908
영화 리뷰,구불,UCb_GEWOGkCTXawWZKDtALwg,"영화 리뷰 채널, 드라마 리뷰 채널
영화, 드라마 보다 재밌는 병맛리뷰 구불
귀여운 구불 강아지가 각종 콘텐츠들을 소개하는 채널입니다.

#영화 유튜버 #드라마 유튜버 #강아지 #구불

",989000,390,313895021
영화 리뷰,김채호의 필름찢기,UCNbUh4ETUOSNq0HMMVjhieQ,"영화리뷰 채널

비즈니스 문의: ho72003@naver.com
",246000,234,104953062
영화 리뷰,야한 아리의 영화리뷰,UCJPGupyg8Ekh_1sMVpvCP6Q,,8320,16,5533482
