카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
영화 리뷰,찐뷰 영화리뷰,UCQAtlNjpgBRx2pqDyG9H-eg,"안녕하세요 
좋은영화, 찐영화를 리뷰하는 찐뷰입니다


평점이 높고 기본적인 재미가 보장된 영화를 찾는다면 찐뷰를 찾아주세요~!",154000,91,39234345
영화 리뷰,어쩌다영화한편,UCaS8JH5U5nMaOfrSVYnbOTQ,"영화 리뷰 채널입니다.
",145000,115,43303017
영화 리뷰,무드킹,UCzAwNywSkY0ycIqZL29zClg,"믿고 보는 Movie & Drama 무드킹입니다👑

비즈니스 문의 soohn010@gmail.com

채널에 가입하여 혜택을 누려보세요.
https://www.youtube.com/channel/UCzAwNywSkY0ycIqZL29zClg/join
",249000,156,86011985
영화 리뷰,북부의 왕 Movie Review,UCRytxwcg5ROIFlkDy6cozFQ,영화 리뷰 채널 '북부의 왕 Movie Review' 입니다. 매주 두 편의 재미있는 리뷰로 찾아가겠습니다! 좋아요와 구독 부탁드려요☆,222000,45,51295429
영화 리뷰,빨간 비디오,UCKiMfAaiDwX5FXLxVRgEP0A,"다양한 영화를 소개해드려요

비즈니스 문의
aqornjsgks1@gmail.com

#영화 #영화리뷰 #결말포함 
",2670,20,864278
영화 리뷰,망고무비의 영화리뷰,UCiU7IX9yfL8Ea7mUCfVL6lw,"솔직하고 비판적인 리뷰가 궁금한 여러분이 만족할 ""영화 리뷰"" 채널.
",2830,114,8081613
영화 리뷰,김시선,UC79hJz6y1EEiIkwfHOuWC4w,"각종 모든 영상 콘텐츠에 ""새로운 재미""를 더 하는 시선 채널입니다.

비즈니스 메일 kss@studioggg.co.kr
____________________________________________________
🔥 영화왕을 꿈꾼 김시선 책 : https://bit.ly/yes24siseon
🥩 김시선 영화 리뷰 블로그 : https://blog.naver.com/kimsiseon
✊ 김시선 강의 인스타 : https://www.instagram.com/kimsiseon
☎️ 기타 문의 : kss@studioggg.co.kr
------------------------------------------------------------------------------------
",2040000,903,824112667
영화 리뷰,김채호의 필름찢기,UCNbUh4ETUOSNq0HMMVjhieQ,"영화리뷰 채널

비즈니스 문의: ho72003@naver.com
",246000,234,104963085
영화 리뷰,B급 리뷰,UCZLmL8OfgaKPcsJNTaikjFA,"B급 감성 가득한 80, 90년대 숨겨진 명작 영화 전문 리뷰
배우와 영화의 꿀잼 뒷얘기까지 챙겨드립니다
",289000,332,106789255
영화 리뷰,흑우,UCnSYOsibiJpOUmcm9g-5tHQ,"재미있는 영화 & 드라마 리뷰 진심으로 환영합니다
▶비즈니스 
sales@lolq.co.kr
blackcow1050@gmail.com
AICOMPANY@6YH6OM
",313000,525,346642721
영화 리뷰,영화쉼,UCMa0hezdcODS0qU1x3Tc3ww,"영화리뷰 채널, 영화쉼입니다.
",176000,40,39380562
