카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
영화 애니메이션,쭌무비,UCCuVtrXizlmVfADF4eBIvUA,"안녕하세요 '쭌무비' 입니다.
즐겁게 보셨다면 구독과 좋아요 그리고 알림 설정까지!!!
자 '쭌무비' 보러 시원하게 드 가즈아아!!!!!

퀄리티 보장! 꿀잼 보장! 병맛 리뷰로
웃음 챙겨드리도록 노력하겠습니다. 
감사합니다!^^

비즈니스 문의 : jjunmovies@gmail.com
",224000,142,118671468
영화 애니메이션,한국애니메이션고등학교 (KAH TVNFILM),UChcGx_bNMOkQ9PkZ5--Y6fQ,"한국애니메이션고등학교 영상연출과  공식채널입니다.
This is the official channel for TV and Film Production department of Korea Animation High School.
",624,306,75854
영화 애니메이션,Pingu - Official Channel,UCM88mtSE0zRTn5ae4EbYcuw,"The Official Pingu Youtube Channel

Pingu is a charming and cheeky young penguin who is always up to mischief. Along with his mom, dad, little sister, and all his friends, Pingu gets himself into comical situations in the snowy world in which he lives.

Be sure to subscribe to our channel so you can be the first to watch all the great Pingu videos available on YouTube!",7320000,724,3011542352
영화 애니메이션,모두의 명작,UCPTuv3yK6WnrcTFWU7G1Kyw,"많은 사람들에게 명작이 될 애니메이션을 소개합니다.

비즈니스 문의 : l76202060@gmail.com",323000,357,183459184
영화 애니메이션,세명대학교 영화웹툰애니메이션학과,UCQlljDK2rNBWlm57r0X7zMQ,"구독하시면 다양한 영화와 영상을 보실 수 있습니다! ٩(๑❛ᴗ❛๑)۶
",33,31,6019
영화 애니메이션,무료영화 애니메이션 더빙모아나 코난 원피스,UCQ8WZM4TAqwPJLoeEgSmhEw,,6,1,987
영화 애니메이션,RunningMan 런닝맨,UCHTeBVPmUtbJ1Mfqo_YK9YQ,"애니메이션 런닝맨 공식 유튜브 채널입니다

“ It’s Running Time!!”

▶런닝맨 채널 구독하기!
https://goo.gl/sJnufZ

▶런닝맨 공식 블로그
http://blog.naver.com/runningman_animation

-----------------------------------------------------------------------------------------------------------

Official Youtube Channel of RUNNINGMAN ANIMATION

“ It’s Running Time!!”

▶Subscribe YouTube Channel
https://goo.gl/sJnufZ

▶Official blog for more information
http://blog.naver.com/runningman_animation",135000,354,149800174
영화 애니메이션,다시봐도 레전드,UC_pGsciB3tZj7kmZTMs0aSA,"명작은 영원하다.

감동, 소름, 웃음...
다시 봐도 레전드인 그 장면들.

애니메이션으로 다시 살아난
드라마·영화의 명장면!

구독하고 함께 추억 속으로 빠져보세요.
다음 명장면은 댓글로 추천해주세요!
",9,17,29536
영화 애니메이션,애니와 영화에 모두 미친놈이야,UCYpOM-GQnbo1j1RL7I_iHmg,,338,15,132350
영화 애니메이션,애니메이션영화,UC_SpPrKPIDmxM0xpY7EmUYA,,2,1,6965
영화 애니메이션,나롱이네,UCdxuGQUbk-SeJlZxMtLGzAg,"나롱이네에 어서오세요^~^

나롱이네는 나레이션을 맡고 있는 나롱주인과 마스코트 캐릭터 나롱이가 함께 애니리뷰를 하는 채널입니다~

*문의
nalong643@gmail.com",449000,1417,350260753
영화 애니메이션,애니콘다,UCGcNwc39FWRoW6w0s1u5eKw,"
",2360,25,9898
영화 애니메이션,와!애니무비,UCndHCoPPcuBJcUwPhTJKEXQ,"🎬 추억의 영화 & 애니메이션 모음 🎬
어릴 적 우리를 웃고 울게 했던 추억의 영화와 애니메이션을 다시 만나보세요! 💿✨

👾 80~90년대 특촬물, SF, 코미디, 감동 애니까지!
🦸‍♂️ 슈퍼 히어로, 괴수 영화, 공룡 모험극 총집합!
🎶 OST와 함께 떠나는 향수 여행!

🔔 좋아요, 구독, 알림 설정으로 더 많은 영상을 만나보세요!
📢 함께 보고 싶은 작품이 있다면 댓글로 추천해주세요!
 👩‍✈️ 저작권 침해 동영상이 있으면... 댓글 남겨주세요.. 바로 삭제 하겠습니다. 
",730,659,164730
영화 애니메이션,애니이야기&집합소,UCAtTMf8rHBiJ83mWhDLbObQ,세상 모든 애니모음🔥,79800,167,11639962
영화 애니메이션,애니메이션 영화 ,UC7lWfZZyMiK6Fgi4HpztOpA,,0,2,8
영화 애니메이션,Sony Pictures Animation,UCnLuLSV-Oi0ctqjxGgxFlmg,"Sony Pictures Animation produces animated entertainment for audiences around the world. The studio is currently in production on ""Spider-Man™: Beyond the Spider-Verse,"" the highly-anticipated conclusion to the Spider-Verse trilogy, which began with 2018's Academy Award®-winning ""Spider-Man™: Into the Spider-Verse.""

The studio's upcoming features include ""GOAT,"" an original animated sports comedy from producer Stephen Curry's Unanimous Media, and the tentatively-titled ""KPop Demon Hunters,"" a musical action adventure set against one of the most popular music movements of this generation.

The division is also behind the critically-acclaimed ""The Mitchells vs. The Machines,"" the hit film series ""Cloudy with a Chance of Meatballs,"" and the beloved franchise ""Hotel Transylvania,"" which will continue its story with the upcoming ""Motel Transylvania"" series.

Sony Pictures Animation, founded in 2002, is a division of the Sony Pictures Motion Pictures Group for Sony Pictures Entertainment.
",1230000,530,539981112
영화 애니메이션,[ & ] 미애니마니아 서브채널,UCTmlRohJGqTpNGBgZ1mRtAA,주인장의 용돈벌이를 위해 지극히 자본주의에 의존하여 운영되는 채널입니다,87900,36,20491062
영화 애니메이션,영화 애니,UCKLrDlDx8176lLw49nIdl7g,"영화, 애니메이션 명 장면 모음!",1,2,532
영화 애니메이션,요미몬 애니,UCEVI45za5i1hS8jA-mGR66A,"요미몬 애니 유튜브 채널에 오신 것을 환영합니다. 

아이들도 흥미를 가지고 시청할 수 있는 재미난 애니메이션으로 제작된 다양한 테마의 동화와 챈트 등
영유아 및 초등학교 저학년 대상의 홈스쿨링 콘텐츠를 감상할 수 있습니다.

요미몬은 유튜브 채널 외에도 우리 아이 성장발달에 도움을 주는 교육용 완구를 개발·출시하고 있습니다. 

http://yomimon.net
",1070000,728,320749316
영화 애니메이션, Boxoffice ANIMATION ☆ Movie Scenes ,UCzNWVDZQ55bjq8uILZ7_wyQ,"Your #1 destination for the best family and animated films!

The Boxoffice Company is a global media operation dedicated to generating awareness and excitement for theatrical, home-ent., and streaming titles.  We operate a global network of media brands, each market leader in their respective country. We also manage the largest multi-channel YouTube network in the world fully dedicated to promoting movies and trailers. Lastly, we run the leading business publication for the theatrical industry read by every executive in the business.


",7320000,1557,1306386884
